time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-12-05 03:26:22.585 UTC, ,125,3161789,1056,15824,112, ,4, ,25,4,0.16, , , , , , , ,4,4, ,2, ,4,2,6, ,24,10, , , , , , , , , , , , , ,2815,3, ,2318, , , , , ,37,37, , , , , ,1,42, , , , , , , , , , , , , , , , , , , , , , , , ,1512444382527,3145728, , , ,20,0, , , ,3, , , ,3, , , , ,20,1,2048,1, , , , ,126976,32, , , , , , , , ,2,27,35491480,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:22.604 UTC, ,589,3162141,1056,15824, , ,4, , , , , , , , , , , ,4,4, , , ,4,2,6, ,1,1, , , , , , , , , , , , , ,2815,3, ,2318, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444382527,3145728, , , ,1,0, , , , , , , ,3, , , , ,1,1, , , , , , ,2048,1, , , , , , , , ,1,14,26767592,-1, , , , , , ,2, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:22.705 UTC, ,125,3161781,1056,15928, , ,4, ,27,4,0.15, , , , , , , ,4,4, ,2, ,3,1,7, ,26,11, , , , , , , , , , , , , ,3602,4, ,2988, , , , , ,-1,-1, , , , , ,1,53, , , , , , , , , , , , , , , , , , , , , , , , ,1512444382628,3145728, , , ,21,0, , , ,3, , , ,3, , , , ,21,1,2048,1, , , , ,129024,33, , , , , , , , ,3,41,33094088,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:22.712 UTC, ,125,3161781,1056,15928, , ,4, ,2, , , , , , , , , ,4,4, , , ,3,1,7, ,1, , , , , , , , , , , , , , ,3602,4, ,2988, , , , , ,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444382628,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,33206040,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:29.276 UTC, ,125,3159213,1056,13280,80, ,3,1,23,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,26,11, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,-1,-1, , , , , ,1,62, , , , , , , , , , , , , , , , , , , , , , , , ,1512444389227,3145728, , , ,21,0, , , ,3, , , ,3, , , , ,21,1,2048,1, , , , ,124928,31, , , , , , , , ,3,41,39327264,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:29.279 UTC, ,125,3161725,1056,15872, , ,4, ,2,1,0.50, , , , , , , ,4,4, , , ,4,1,7, ,3,2, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444389227,3145728, , , ,3,0, , , , , , , ,3, , , , ,3,1, , , , , , ,10240,5, , , , , , , , , , ,39439272,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:29.361 UTC, ,125,3159213,1056,13280,80, ,3,1,23,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,26,11, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,30,30, , , , , ,1,62, , , , , , , , , , , , , , , , , , , , , , , , ,1512444389292,3145728, , , ,21,0, , , ,3, , , ,3, , , , ,21,1,2048,1, , , , ,124928,31, , , , , , , , ,4,53,38239208,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:29.367 UTC, ,125,3161725,1056,15872, , ,4, ,2,1,0.50, , , , , , , ,4,4, , , ,4,1,7, ,3,2, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444389292,3145728, , , ,3,0, , , , , , , ,3, , , , ,3,1, , , , , , ,10240,5, , , , , , , , , , ,38462928,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:39.565 UTC, ,125,3159269,1056,13280,136, ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,28,12, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,-1,-1, , , , , ,1,62, , , , , , , , , , , , , , , , , , , , , , , , ,1512444399515,3145728, , , ,21,0, , , ,3, , , ,3, , , , ,21,1,2048,1, , , , ,129024,33, , , , , , , , ,4,53,44561456,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:39.570 UTC, ,125,3161725,1056,15872, , ,4, ,1,1,1.00, , , , , , , ,4,4, , , ,4,1,7, ,1,1, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444399515,3145728, , , ,3,0, , , , , , , ,3, , , , ,3,1, , , , , , ,6144,3, , , , , , , , , , ,44785320,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:28:09.231 UTC, ,125,3161725,1056,15872, , ,4,1,25,4,0.16, , , , , , , ,4,4, ,2,1,4,1,7, ,29,13, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,-1,-1, , , , , ,1,62, , , , , , , , , , , , , , , , , , , , , , , , ,1512444489179,3145728, , , ,24,0, , , ,3, , , ,3, , , , ,24,1,2048,1, , , , ,135168,36, , , , , , , , ,4,53,50548280,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:28:09.311 UTC, ,125,3161725,1056,15872, , ,4,1,25,4,0.16, , , , , , , ,4,4, ,2,1,4,1,7, ,29,13, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,30,30, , , , , ,1,62, , , , , , , , , , , , , , , , , , , , , , , , ,1512444489246,3145728, , , ,24,0, , , ,3, , , ,3, , , , ,24,1,2048,1, , , , ,135168,36, , , , , , , , ,4,53,57264336,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:28:09.315 UTC, ,125,3161725,1056,15872, , ,4, , , , , , , , , , , ,4,4, , , ,4,1,7, , , , , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444489246,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,57488104,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:28:09.386 UTC, ,589,3162189,1056,15872, , ,4,1,25,4,0.16, , , , , , , ,4,4, ,2,1,4,2,6, ,29,13, , , , , , , , , , , , , ,4399,5, ,3909, , , , , ,-1,-1, , , , , ,1,62, , , , , , , , , , , , , , , , , , , , , , , , ,1512444489326,3145728, , , ,24,0, , , ,3, , , ,3, , , , ,24,1,2048,1, , , , ,135168,36, , , , , , , , ,4,53,62915872,-1, , , , , , ,20, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:28:09.515 UTC, ,125,3159237,1056,13304,80, ,3, ,23,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,28,12, , , , , , , , , , , , , ,5225,6, ,4572, , , , , ,-1,-1, , , , , ,1,73, , , , , , , , , , , , , , , , , , , , , , , , ,1512444489412,3145728, , , ,20,0, , , ,3, , , ,3, , , , ,20,1,2048,1, , , , ,124928,31, , , , , , ,1,39,5,61,13742032,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:28:09.522 UTC, ,125,3161829,1056,15976, , ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,3,1,7, ,2,1, , , , , , , , , , , , , ,5225,6, ,4572, , , , , ,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444489412,3145728, , , ,3,0, , , , , , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,13742144,-1, , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
